iter	Passed	Remaining
0	2	910
1	5	953
2	8	1017
3	10	1007
4	13	1014
5	15	993
6	18	966
7	20	958
8	22	938
9	24	926
10	27	929
11	30	946
12	34	966
13	36	966
14	39	964
15	42	964
16	44	957
17	47	960
18	50	961
19	52	953
20	55	958
21	58	954
22	61	964
23	64	969
24	67	970
25	70	963
26	72	958
27	75	951
28	77	944
29	79	936
30	81	927
31	84	919
32	86	919
33	89	916
34	92	916
35	94	912
36	97	913
37	100	911
38	103	906
39	106	908
40	108	904
41	112	912
42	114	904
43	116	898
44	119	892
45	121	885
46	123	877
47	125	871
48	127	866
49	129	860
50	132	859
51	135	858
52	137	854
53	140	853
54	143	850
55	146	850
56	148	847
57	150	843
58	153	838
59	155	834
60	157	830
61	159	825
62	162	820
63	164	816
64	167	815
65	169	812
66	172	809
67	175	808
68	177	805
69	180	803
70	182	798
71	185	798
72	187	794
73	189	790
74	192	788
75	194	784
76	197	781
77	199	778
78	201	774
79	204	771
80	205	765
81	208	762
82	210	758
83	212	755
84	214	750
85	217	747
86	220	746
87	222	744
88	225	742
89	228	741
90	230	738
91	233	736
92	237	736
93	239	734
94	242	731
95	245	729
96	248	729
97	251	728
98	253	725
99	255	719
100	258	718
101	260	715
102	262	711
103	264	707
104	266	704
105	270	703
106	272	700
107	275	698
108	278	696
109	281	694
110	284	693
111	286	690
112	289	689
113	291	686
114	294	683
115	297	682
116	300	679
117	303	677
118	305	674
119	308	672
120	311	671
121	314	669
122	316	666
123	319	663
124	321	661
125	324	659
126	326	656
127	329	653
128	331	650
129	334	647
130	336	644
131	339	642
132	342	640
133	345	639
134	348	638
135	351	635
136	353	632
137	356	629
138	358	626
139	361	624
140	363	621
141	366	619
142	369	616
143	371	613
144	374	612
145	376	608
146	378	605
147	381	603
148	384	600
149	387	599
150	389	596
151	391	592
152	393	589
153	396	586
154	398	583
155	400	580
156	403	578
157	406	575
158	408	572
159	410	570
160	412	566
161	415	564
162	417	561
163	420	558
164	422	555
165	424	552
166	427	550
167	429	547
168	432	544
169	435	542
170	437	539
171	439	536
172	443	535
173	445	532
174	448	530
175	450	527
176	452	524
177	455	521
178	457	518
179	459	515
180	461	512
181	464	510
182	467	508
183	470	505
184	472	503
185	475	500
186	477	497
187	480	495
188	482	492
189	485	490
190	488	488
191	490	485
192	493	483
193	495	480
194	498	478
195	500	475
196	502	472
197	505	469
198	507	466
199	510	464
200	512	461
201	514	458
202	516	455
203	518	452
204	521	449
205	523	447
206	526	444
207	529	442
208	532	440
209	535	438
210	538	436
211	541	434
212	543	431
213	546	428
214	548	426
215	551	423
216	553	421
217	556	418
218	558	415
219	560	412
220	562	410
221	565	407
222	567	404
223	570	402
224	573	400
225	575	397
226	578	394
227	581	392
228	583	389
229	586	387
230	588	384
231	591	382
232	594	379
233	596	377
234	599	374
235	602	372
236	605	370
237	607	367
238	609	364
239	613	362
240	615	359
241	617	357
242	619	354
243	622	351
244	624	349
245	626	346
246	629	343
247	631	341
248	633	338
249	636	335
250	638	333
251	640	330
252	643	328
253	646	325
254	648	323
255	651	320
256	653	317
257	655	315
258	658	312
259	660	310
260	664	307
261	666	305
262	669	302
263	671	300
264	675	298
265	678	295
266	680	293
267	683	290
268	685	287
269	688	285
270	690	282
271	693	280
272	695	277
273	698	275
274	701	272
275	703	270
276	705	267
277	707	264
278	709	262
279	712	259
280	714	256
281	716	254
282	719	251
283	722	249
284	724	246
285	727	244
286	730	241
287	732	239
288	734	236
289	740	235
290	743	232
291	745	229
292	747	227
293	749	224
294	752	221
295	755	219
296	758	216
297	760	214
298	763	211
299	765	209
300	767	206
301	769	203
302	774	201
303	776	199
304	779	196
305	781	194
306	784	191
307	786	188
308	789	186
309	792	184
310	795	181
311	797	179
312	800	176
313	802	173
314	809	172
315	811	169
316	813	166
317	816	164
318	818	161
319	820	159
320	823	156
321	826	154
322	829	151
323	832	148
324	834	146
325	836	143
326	838	141
327	841	138
328	843	135
329	846	133
330	848	130
331	851	128
332	853	125
333	855	122
334	858	120
335	861	117
336	863	115
337	865	112
338	868	110
339	871	107
340	873	105
341	875	102
342	878	99
343	880	97
344	883	94
345	886	92
346	888	89
347	891	87
348	893	84
349	895	81
350	898	79
351	901	76
352	903	74
353	905	71
354	908	69
355	911	66
356	913	64
357	916	61
358	919	58
359	923	56
360	927	53
361	929	51
362	932	48
363	934	46
364	937	43
365	939	41
366	942	38
367	945	35
368	947	33
369	950	30
370	952	28
371	955	25
372	958	23
373	960	20
374	962	17
375	965	15
376	967	12
377	970	10
378	972	7
379	974	5
380	977	2
381	979	0
